"id","l10n_id_ebupot_facility","l10n_id_ebupot_code","active","description","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","fiscal_position_ids","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id","original_tax_ids"
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-14","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-14_ebupot","False","Domestic Sales of Gold Bullion by Business Entities","","-0.45%","sale","l10n_id_tax_group_pph22","0.45% 22-100-14","percent","-0.45","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-15","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-15_ebupot","False","Purchase of Forestry Products that Have Not Been Through the Industrial Manufacturing Process, for Industrial/Export Needs by Industrial Business Entities/Exporters","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-100-15","percent","-0.25","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-16","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-16_ebupot","False","Purchase of Plantation Products that Have Not Been Through the Industrial Manufacturing Process, for Industrial/Export Needs by Industrial Business Entities/Exporters","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-100-16","percent","-0.25","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-17","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-17_ebupot","False","Purchase of Agricultural Products that Have Not Been Through the Industrial Manufacturing Process, for Industrial/Export Needs by Industrial Business Entities/Exporters","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-100-17","percent","-0.25","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-18","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-18_ebupot","False","Purchase of livestock products that have not undergone the industrial manufacturing process, for industrial/export purposes by industrial business entities/exporters","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-100-18","percent","-0.25","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-19","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-19_ebupot","False","Purchase of Fishery Products that Have Not Undergone the Industrial Manufacturing Process, for Industrial/Export Needs by Industrial Business Entities/Exporters","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-100-19","percent","-0.25","l10n_id_domestic_fiscal_position,l10n_id_foreign_trade_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-401-01","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-401-01_ebupot","False","Sales of Fuel by Pertamina or Pertamina's Subsidiaries to Gas Stations (Final)","","-0.25%","sale","l10n_id_tax_group_pph22","0.25% 22-401-01","percent","-0.25","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_61100110",""
"tax_22-100-20","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-20_ebupot","False","Sales of Fuel by Pertamina or Pertamina's Subsidiaries to Other Than Gas Stations/Agents/Distributors (Not Final)","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-100-20","percent","-0.3","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-401-02","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-401-02_ebupot","False","Sales of Fuel by Business Entities Other Than Pertamina or Pertamina Subsidiaries to Gas Stations/Agents/Distributors (Final)","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-401-02","percent","-0.3","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
"tax_22-100-21","l10n_id.tax_facility_na_ebupot","l10n_id.tax_category_22-100-21_ebupot","False","Sales of Fuel by Business Entities Other Than Pertamina or Pertamina Subsidiaries to Other Than Gas Stations/Agents/Distributors (Not Final)","","-0.3%","sale","l10n_id_tax_group_pph22","0.3% 22-100-21","percent","-0.3","l10n_id_domestic_fiscal_position","base","","","invoice","",""
"","","","","","","","","","","","","","tax","","","invoice","l10n_id_11510020",""
"","","","","","","","","","","","","","base","","","refund","",""
"","","","","","","","","","","","","","tax","","","refund","l10n_id_11510020",""
